1,100,0,100,7.596953392028809,1992.1174395991823
1,10,0,100,7.596800804138184,1991.8134897913162
1,10,0,100,7.600368022918701,1998.9314123248664
1,10,50,100,3.7963733673095703,44.539363326645216
2,10,0,100,3.225604772567749,25.168790948334188
2,10,50,100,3.21750545501709,24.96576421692236
3,10,0,100,2.7776782512664795,16.081640042882327
3,10,50,100,2.7373971939086914,15.446727890772312
4,10,0,100,2.4390857219696045,11.462555987422963
4,10,50,100,2.1731064319610596,8.785533356368717
5,10,0,100,2.5140323638916016,12.354648189601473
5,10,50,100,1.9112577438354492,6.761587797999581
6,10,0,100,2.3237788677215576,10.214199578363045
6,10,50,100,1.7265127897262573,5.6210180193041035
7,10,0,100,1.9478143453598022,7.013342073063044
7,10,50,100,1.709917664527893,5.5285062667107425
8,10,0,100,1.8582303524017334,6.412379073605046
8,10,50,100,1.5455780029296875,4.690682071603717
