1,10,0,100,7.623659610748291,2046.0361413475312
1,10,50,100,4.936254501342773,139.2477194567265
2,10,0,100,3.1802163124084473,24.051955725867767
2,10,50,100,2.716779947280884,15.131519423030328
3,10,0,100,2.5292344093322754,12.54389896757153
3,10,50,100,2.2759346961975098,9.737015912227074
4,10,0,100,1.9347528219223022,6.922332794980514
4,10,50,100,1.9302610158920288,6.891308747951802
5,10,0,100,2.424027442932129,11.291242699647073
5,10,50,100,1.5581203699111938,4.749884822753481
6,10,0,100,2.2931196689605713,9.905792320851594
6,10,50,100,1.6817262172698975,5.374826085315591
7,10,0,100,1.769170880317688,5.865987738679221
7,10,50,100,1.5770642757415771,4.840723900393216
8,10,0,100,1.8075917959213257,6.095749932194667
8,10,50,100,1.8003476858139038,6.051751206714926
